Genes,BB9,BB10,BB17,BB19,BB20,BB21,BB11,BB12,BB18
accD,6.875411,7.047582,7.431765,7.105877,6.516094,6.676126,6.304694,6.168221,6.245553
aceF,7.732412,7.674997,8.397717,7.455056,7.277269,6.525536,7.45573,6.40383,7.597941
ackA,7.23172,7.260976,8.03328,6.921924,6.920829,6.556644,6.35815,5.888768,6.35931
agaV,6.048825,6.250033,5.120269,5.559767,5.915593,6.27949,6.441998,6.553099,6.105364
alaS,7.811728,7.85389,8.622037,7.636451,7.641365,7.12592,7.164957,6.555678,7.09859
allA,5.946895,6.103896,6.307866,6.780678,7.041254,6.593324,6.183348,6.366462,6.289392
alsK,5.924551,6.039577,5.713146,5.834003,5.960419,6.031064,6.11892,6.51581,6.126643
amiD,5.724541,5.831523,5.70907,6.721578,6.653576,5.88022,6.091234,5.7645,6.216009
ansB,6.173147,6.400401,5.867748,5.370443,5.720662,6.061625,6.625723,6.76964,6.810597
appY,5.732378,6.022235,5.946988,5.488001,5.827997,6.168401,5.742222,6.195899,5.547326
apt,7.282041,7.188124,7.542691,7.011384,6.92015,6.458743,6.380279,6.429131,6.631745
araF,5.40521,5.645558,4.978699,5.503953,5.003917,5.56645,5.668715,5.912027,5.938521
araG,5.870784,5.79613,5.895957,5.951098,5.834585,6.00313,5.711467,5.865473,5.75438
argC,5.643741,5.172688,5.115033,5.942632,6.076709,5.950702,5.836202,6.202829,5.831219
argO,6.303817,6.31094,6.170005,6.087017,6.091531,6.142965,6.301771,6.742532,6.436695
argR,9.298241,9.522782,10.057437,9.923402,9.926157,9.174751,9.94314,8.032283,8.937953
aroH,6.53843,6.476641,6.769335,6.699232,6.931967,6.169384,6.137708,6.132577,7.228222
aroK,7.351814,7.279713,7.753056,7.700842,7.690061,7.213717,7.177081,6.92946,7.266693
astA,5.412511,5.25686,4.768131,7.744013,7.684728,7.151159,6.997112,5.959051,6.739889
astB,5.251492,5.177041,5.095882,6.72495,7.003557,6.282403,5.770115,5.629561,6.10572
atpC,6.85316,6.749534,6.341719,7.135555,7.276943,6.817802,7.720764,6.701715,7.064754
azoR,6.07427,6.242393,6.389429,5.796546,5.939274,6.298035,5.768952,6.053546,6.070947
bamD,8.724872,8.847706,9.512567,9.226523,9.24438,8.302557,8.116671,6.614003,7.778885
bcsB,6.870525,6.83009,6.682587,6.476139,6.673599,6.658226,6.692762,7.136981,7.13342
btuE,5.721591,5.700467,5.677903,7.115814,7.186263,6.642008,6.099569,5.491981,5.486039
btuR,6.025095,6.425728,6.580085,5.735874,6.021857,5.550931,5.591829,5.370618,5.553299
cbpM,5.69769,5.906746,5.059096,7.280752,7.369528,6.417279,5.877695,5.858006,6.437461
ccmE,5.461168,5.828225,5.614033,6.046185,5.992111,6.063201,6.229626,6.014712,6.069466
chbA,5.563677,5.23787,4.917289,4.516835,4.784242,5.16374,4.677903,5.469463,4.613767
chbB,5.420752,5.206682,5.268734,5.122134,4.373161,5.09043,5.337354,5.670642,4.667665
cheR,5.483171,5.562517,4.292635,5.045006,5.07382,5.428946,5.070947,5.859622,5.674263
cheW,5.733246,5.857857,4.902797,5.556828,5.410171,5.475701,5.270006,6.027243,6.279471
chiQ,5.695437,5.281661,6.255066,5.43969,4.347737,5.561479,5.348091,5.540585,5.158337
cho,5.674263,5.86483,6.0229,7.786132,7.698746,7.055478,7.319844,6.550177,6.978253
chpS,6.022323,6.322397,6.3135,6.114367,6.173567,6.275491,6.586915,6.437411,6.492061
clpS,7.459317,7.383989,7.955202,8.86819,8.812797,7.968459,8.254892,6.914995,7.680648
cmk,7.961421,8.088232,8.727778,8.025793,7.895139,7.331723,6.99536,6.305113,7.039851
cmoB,6.014712,5.958147,6.278561,5.909821,5.990978,5.627432,5.868711,5.932864,6.018167
coaA,6.487454,6.35713,7.190862,6.694685,6.42425,6.045137,6.547619,5.890374,5.929838
coaE,7.143812,7.189834,7.913949,7.834863,7.947257,6.830167,6.813666,6.24163,6.484831
cohE,7.281049,7.515747,8.263297,8.555325,8.225511,7.873487,6.874748,6.468095,6.999109
corA,7.705688,7.616512,7.906536,7.630034,7.476997,7.311539,7.029596,6.60183,6.674814
croE,5.419404,5.451772,5.054154,5.824895,6.057883,6.20762,8.621437,6.894151,8.236062
crr,8.757877,8.867433,9.665387,11.010283,10.744682,9.988599,9.749707,7.690033,8.916548
csdE,6.368489,6.36592,6.192352,6.287823,6.230126,6.179252,6.667083,6.63545,6.523546
csgE,5.56154,5.574556,5.153765,5.191918,5.00513,5.365867,5.593473,5.417245,5.412036
cutC,5.96167,5.75315,6.00232,6.172247,6.30241,6.123852,6.565216,6.033423,6.127654
cvpA,6.455787,6.280993,6.283477,6.177918,6.115429,6.331275,6.325404,6.190417,6.973014
cydA,8.630118,8.578478,8.884574,7.287583,7.255151,6.598395,6.603893,5.860739,6.36133
cydB,7.533205,7.662376,8.22078,6.416266,6.410646,5.842401,6.069831,5.693487,5.960743
cydC,6.097653,6.336819,6.598618,5.606738,5.852548,5.826548,5.576794,5.729879,5.711467
cydD,6.24123,6.215232,6.512764,5.558757,5.584241,5.59132,5.475733,5.648609,5.52491
cynS,6.274709,6.072792,6.245439,5.986957,5.217929,6.115824,6.451046,6.542103,6.21255
cyoD,7.009504,7.004771,7.01258,6.977715,6.3196,6.638117,6.167258,6.555448,6.863864
cysE,6.895933,7.03848,7.031142,7.078215,6.964318,6.847032,7.044766,7.108828,7.421829
cysW,5.619442,5.682967,5.107562,5.283551,5.705784,5.788373,5.919269,5.965484,5.984589
dadA,7.074505,7.099095,7.736909,8.818972,8.806585,8.106244,8.428268,6.760168,7.874305
dapF,6.136458,5.74001,5.888183,6.100809,5.861161,5.613915,6.485362,6.561143,6.437344
dcm,6.257312,6.12532,6.541886,6.153096,6.104169,6.151656,6.025693,6.093877,5.970578
ddlB,7.106694,7.14752,7.677706,7.906181,8.095292,7.213911,7.423284,6.406945,6.858329
ddpC,5.563219,5.404903,5.582977,5.675195,5.747898,6.15971,5.550962,5.882472,5.982218
degQ,7.5248,7.731333,8.288612,8.682794,8.764862,8.325337,7.881022,6.784085,7.480613
degS,6.3749,6.083341,6.387397,6.628161,6.433978,6.20592,6.465207,6.364572,6.456083
dhaL,7.800505,7.733693,8.378043,5.379967,5.328154,5.634303,5.063632,5.222495,5.504716
dicA,6.287306,6.582119,7.014824,7.240953,6.670472,6.722999,6.647156,6.234329,6.294621
dnaG,8.066229,8.358067,8.882374,8.441857,8.42483,8.102207,8.016758,7.407608,7.964295
dnaJ,7.056703,6.878578,7.008294,7.770974,7.813198,7.016195,7.419842,6.584602,7.404827
dnaQ,7.681154,7.900281,8.647073,9.278598,9.237884,8.342595,8.125455,6.651769,7.593735
dnaT,6.709828,6.717937,6.85316,7.55346,7.390109,6.991907,6.91872,6.421762,6.978642
dsbA,7.585008,7.567895,8.302776,7.609038,7.686725,6.914313,7.857203,6.775209,7.423654
dtpA,6.964248,7.064279,7.407548,7.168161,7.20679,6.663046,6.577867,5.914875,6.524738
efp,8.608998,8.879543,9.647834,9.314715,9.375311,8.673881,8.406162,7.371942,8.299707
elaA,5.757343,5.570341,5.588595,5.77813,5.624774,5.952799,5.643452,5.709125,5.318353
endA,6.246408,6.251265,5.887355,5.652888,4.968275,5.758356,6.102658,6.551808,6.571282
entD,6.105154,6.243174,6.092017,5.46956,5.91138,6.213503,5.880318,6.460759,5.869032
erpA,6.449281,6.629429,7.071484,6.872976,6.916357,6.962861,6.659625,6.296769,6.111699
essQ,5.178037,5.655781,5.623838,5.494544,4.360364,5.069788,4.984453,6.049957,4.47703
eutL,5.773548,5.597859,4.888646,5.17724,5.089202,5.642471,5.753818,5.944367,5.52491
eutN,5.794624,5.727512,5.854195,5.37865,4.921722,5.825022,5.706641,6.007554,6.32722
fabH,9.06346,9.082397,9.677905,8.799048,8.764669,7.917014,7.726436,6.470065,7.488748
fdx,6.436212,6.608514,6.930903,6.0688,6.82693,6.238787,5.945327,5.767258,5.735576
fepB,6.458644,6.632385,6.827959,5.704485,5.477418,6.155689,6.066972,6.119771,6.353447
fis,8.563082,8.724006,9.446341,8.675227,8.54476,7.67101,8.435299,6.783784,7.872853
fldA,7.662725,7.890088,8.524675,8.866083,8.63937,8.075741,7.041155,6.354875,7.237334
fliJ,5.628686,6.037778,6.013887,5.010288,5.098916,5.33063,4.981076,5.533003,5.415995
fliL,6.248611,6.221838,6.861707,4.804467,5.250317,5.633315,5.132124,5.968436,5.371315
fliN,5.674235,5.581713,5.720142,4.745506,4.529134,4.780205,5.295209,5.715674,5.374101
folB,6.185688,6.213114,6.563982,5.766092,5.486907,6.230933,6.54266,6.477855,6.626089
folD,7.445305,7.462797,8.013004,7.427112,7.303753,6.884061,7.032729,6.631483,7.134354
frlD,5.99381,5.813268,5.561876,5.851699,5.831269,6.079975,6.501121,6.500595,6.559981
frmR,7.522417,7.277715,7.772961,7.174416,7.295622,6.614577,6.390771,6.479473,6.318769
fryB,5.603834,5.719731,5.930075,5.553913,4.829241,5.879436,5.224928,5.776367,5.995756
ftsH,7.335506,7.573996,8.116453,8.299176,8.096684,7.496247,7.799819,6.943359,7.518897
ftsK,6.654106,6.766648,7.143332,7.559278,7.497069,6.93718,6.873789,6.164947,6.809299
ftsN,6.564424,6.491003,6.960048,7.149259,7.083681,6.70718,7.015147,6.696008,6.885721
ftsP,6.414863,6.578184,6.238156,5.986957,6.099758,6.270323,6.288672,6.71144,6.674955
ftsX,7.32669,7.254802,7.745197,7.589936,7.510503,7.22724,7.35521,7.216668,7.272686
galU,5.896175,5.979568,6.089519,5.91114,6.090282,5.885989,5.322144,5.103372,4.934658
gatD,8.020141,8.092503,8.790915,8.86287,8.794247,8.091023,7.832795,6.685366,7.785505
gcvR,7.852979,8.084346,8.821822,8.716068,8.691716,7.735008,7.656082,6.634332,7.72032
gfcA,5.778918,5.701383,5.783771,6.169344,5.672425,5.666018,5.215601,5.574858,5.694435
ghrA,6.383359,6.263617,6.381785,7.074527,6.926142,6.350674,6.049936,5.932534,6.282551
glmM,7.320566,7.494704,8.033412,7.713421,7.594631,6.941811,7.490193,6.56578,7.281884
glnD,6.45743,6.497021,6.965577,7.437161,7.369362,6.937333,6.736267,6.237564,6.889181
glnP,7.038348,6.911596,7.009538,7.697246,7.433502,6.61771,6.399855,5.836909,6.442794
gltK,6.090345,6.109089,6.16792,5.892561,5.397974,5.990161,5.732133,5.961762,5.766887
gltL,5.862526,5.911763,5.930075,5.969657,5.885965,6.005759,5.427137,6.105301,5.620792
glyA,8.540903,8.64537,9.542862,9.303895,9.120217,8.203152,9.541536,7.684728,9.589651
glyS,7.867575,7.810938,8.165977,7.718807,7.766933,7.554696,7.553637,7.345157,7.503293
gor,6.927659,6.85992,6.493343,6.797765,6.802348,6.69004,6.898039,7.097284,6.948893
gph,8.426453,8.588141,9.289113,9.131108,9.098158,8.244958,8.092192,7.19387,7.774227
gpsA,7.662775,7.684061,8.113982,8.058798,8.279165,7.706033,7.972865,7.347675,7.873001
groL,8.218277,8.139193,8.431326,9.551441,9.518002,8.706831,9.38865,7.881169,8.788686
gshB,8.672899,8.820587,9.462942,9.407756,9.420411,8.913123,8.437477,7.517402,8.592177
hcaC,5.137299,4.351558,4.24306,4.514627,5.05849,5.691646,5.169564,5.540275,5.098285
hcaF,5.247244,5.110196,4.754834,5.09394,5.007823,5.499591,5.710338,5.573647,5.175884
hda,6.059377,6.028746,6.174886,5.912985,6.172848,5.961369,5.814653,5.812627,6.070754
hemE,6.016585,5.795715,5.945959,6.297283,6.424183,5.884403,6.076944,5.823265,6.145372
hfq,9.657686,9.630624,10.098308,10.128716,10.250062,9.495245,9.694583,7.778971,9.033484
hicB,6.008541,5.888402,6.249313,5.316834,6.1152,5.995756,6.185074,6.087739,5.75007
hns,7.375083,7.755408,7.901766,7.247111,6.697635,6.95316,6.602454,6.077563,6.688768
holC,7.226374,7.109977,7.619985,7.800816,7.610862,7.269856,7.204552,6.804763,7.130159
hscA,6.224542,6.201693,6.74206,6.148609,6.312466,5.987821,5.845866,5.78487,6.094004
hscB,6.35632,6.022368,6.444965,6.161424,6.090451,5.74881,5.736253,5.825379,5.885989
hslJ,6.071462,6.326537,6.204219,7.710958,7.016429,6.832017,6.550562,6.019813,6.261343
hyaA,5.613237,5.457988,5.112867,5.399308,5.326717,5.418257,5.370687,5.350214,5.165872
hyaC,5.575433,5.395029,5.011496,4.592337,5.16088,5.360786,5.33714,5.540461,5.284699
hyaD,5.691646,5.966315,5.316834,5.308812,5.251189,5.392764,5.354558,5.434628,5.615593
hybD,6.087887,6.311739,6.02974,4.94012,5.350179,5.695326,6.215717,6.44369,6.207268
hybG,6.107918,6.389825,6.29118,5.457397,6.043891,6.743057,6.691185,6.784857,6.632646
hycF,5.956428,5.720142,4.764261,5.614533,5.44052,5.758197,5.646393,6.221722,5.930122
hycI,6.107709,6.353341,6.504096,6.525959,6.599288,6.354805,6.986638,6.600463,6.40555
ileS,7.511618,7.434036,8.109601,7.924533,7.886343,7.138743,7.260101,6.55488,7.216232
insA,9.040775,9.041941,9.420929,9.542028,9.361795,9.24502,9.145899,9.006957,9.319546
iraM,5.622403,5.949558,6.091509,5.232968,5.305168,5.883841,7.761684,6.616887,6.779444
iscS,7.809485,7.676557,8.304963,7.923928,8.119128,7.284412,7.198111,6.419859,7.253507
iscU,8.281939,8.396446,9.329769,9.037473,8.898556,8.24474,8.566693,6.981544,8.23666
kdsA,8.38278,8.442384,8.88116,7.960807,8.143587,7.279731,6.571601,5.535991,6.367214
kdsC,7.12231,7.484944,8.104106,8.023882,7.892713,7.328675,7.551239,6.823647,7.445098
lolA,6.939473,6.951704,7.330245,7.810944,7.756416,7.341639,7.225005,6.260534,6.844637
lpd,9.363502,9.421922,10.203311,10.80976,10.637766,9.436526,9.958933,7.962092,9.803957
lplA,5.791475,6.091658,6.034986,5.960465,5.7433,6.179471,6.026911,6.280882,6.223867
lptB,6.485491,6.527805,6.857819,6.870019,6.732975,6.307337,6.621246,6.343355,6.455097
marA,6.242907,6.310176,6.282421,6.866908,6.79923,6.543016,6.482284,6.264743,6.726082
mazE,6.585879,6.876701,7.220359,7.241097,6.642095,6.908008,6.723722,6.502378,6.88533
mdtI,5.692929,5.35551,5.051677,4.99458,5.133687,5.857832,5.172007,5.974575,5.537669
menE,5.490442,5.410171,5.083426,5.665933,5.494896,5.692511,5.470277,5.60027,5.885013
mglB,9.708615,9.744057,10.781352,9.449458,9.248293,8.294662,9.472006,7.291806,8.42241
mgsA,9.821441,9.826901,10.482717,9.468673,9.479057,8.602276,9.179643,7.174317,7.771886
miaA,7.646566,7.582902,7.893969,8.357913,8.203798,7.62435,7.878204,7.047604,7.489856
minD,7.72975,7.592427,8.152199,6.822615,7.066434,6.435995,6.245096,5.238481,5.999865
minE,6.049326,5.881469,6.081297,5.196253,5.453287,5.062294,5.085892,4.760647,5.52491
mlaB,5.877155,5.783771,5.115116,5.389257,5.792673,5.71188,5.693459,6.136581,6.272341
mnmA,7.063125,6.945315,7.359091,6.707663,6.942597,6.270417,5.82023,5.660267,6.358484
mnmE,6.759808,6.671279,6.967641,7.171817,7.305423,6.928323,6.930406,6.92927,7.003467
mntR,5.982743,6.20373,6.778669,6.191898,6.170346,6.124907,5.329985,5.668686,5.932085
mog,7.06237,7.017131,7.609519,7.385448,7.136191,6.975045,6.947818,6.456116,6.706185
motA,5.589913,5.503635,5.2962,5.250242,5.565049,5.371942,5.185748,5.980551,5.74144
mpaA,5.934139,5.848022,6.042382,6.479376,6.522715,5.956428,5.66965,5.681955,5.979477
mqsA,6.521962,6.589958,6.176522,5.50128,5.504938,6.177679,6.537048,6.916584,6.743138
mraY,5.75785,5.771991,5.663117,5.618444,5.471057,5.73064,5.937627,6.180128,5.88616
mreD,5.47213,5.272359,5.54297,5.639579,5.630842,5.525724,5.763119,6.067467,5.792803
mscL,7.09564,7.21217,7.880404,9.292197,9.461222,8.884631,7.93254,6.749802,7.078332
msyB,6.34211,6.715756,6.709167,10.750891,10.751519,10.000127,8.256841,6.70747,7.921424
mtfA,6.508761,6.478211,7.233409,6.895642,7.083756,6.538569,7.431564,6.379118,6.251416
mtn,7.632813,7.598194,8.143847,7.527829,7.614577,7.023333,7.126622,6.480637,7.000101
murA,7.222457,7.224561,7.643178,7.213658,7.017321,6.867303,7.137176,6.622579,7.06129
murB,7.467923,7.592988,8.200722,8.069901,8.127979,7.652192,7.222418,6.845866,7.211499
murF,6.770882,6.789051,7.080807,7.198799,7.008126,6.546308,6.881934,6.272117,6.515448
mzrA,8.72854,8.984028,9.84221,8.449004,8.772968,8.139311,7.869797,7.273348,7.863567
nadD,7.555486,7.887349,8.680018,7.81237,7.762409,7.309449,7.109465,6.53442,7.110958
nanR,6.265943,6.095587,6.514312,6.28129,6.045705,6.300087,6.299904,6.522966,6.229742
nhoA,5.559859,5.527696,5.707414,5.922055,5.846543,5.959747,5.556797,6.023034,5.987616
nrdH,6.83189,7.097927,8.486377,5.908813,6.061107,5.851874,7.985757,6.455442,7.443201
nrdI,5.47304,5.804854,6.039731,4.880294,4.9115,5.581472,5.500037,5.774023,5.585443
nudB,7.767251,7.868977,8.219546,7.618018,7.534513,7.054653,6.810006,5.993335,6.863455
nupX,5.65704,5.705784,5.108901,5.437328,5.441417,5.811394,5.623779,6.032013,5.962387
nusA,9.418603,9.728344,10.38876,10.084755,10.167431,9.48123,8.810941,7.599913,8.934033
nusB,6.203788,6.500547,6.605598,6.258745,6.15674,6.358344,6.396125,6.348728,6.283459
oppC,7.496494,7.699517,7.940384,9.277752,9.390117,8.695444,7.747119,6.176223,8.100026
oppD,8.016056,8.047947,8.694313,9.789594,9.838986,8.80435,8.258689,6.175105,8.075698
orn,6.898003,6.988139,6.929933,6.982355,7.182861,6.949196,6.92677,6.911044,7.155456
paaC,5.578697,5.917814,5.251378,5.138159,5.210233,5.865597,5.595533,5.769904,5.774155
paaX,5.629065,5.598603,5.214669,5.613414,5.856886,5.790668,5.499718,5.962364,6.030491
paaY,5.727458,5.6638,5.416367,5.401528,6.123873,6.155547,5.861881,5.839783,6.022812
paoB,5.700578,5.726532,5.423713,5.588894,5.796442,6.06766,5.583369,6.165631,6.42156
parC,6.967042,7.057136,7.44547,6.981236,6.90352,6.573496,6.945584,6.823979,7.160557
pdxJ,6.997157,7.085913,7.78455,7.200241,7.115429,6.505415,6.818595,5.914541,6.383998
pepP,7.699121,8.04018,8.407965,8.519569,8.368834,7.66078,7.732256,7.007308,7.777334
pgi,7.822513,7.881089,8.400589,9.319092,9.283128,8.374661,7.54321,6.66982,7.562502
pgpA,6.028459,6.017209,6.164263,6.415015,6.48829,6.379552,6.420011,6.377228,6.257482
phr,5.712183,5.720962,5.229434,5.906434,5.798439,5.774761,5.694908,5.652429,5.563189
pnp,9.482979,9.814525,10.676468,10.871867,10.850171,10.104389,9.599383,8.156392,9.632757
potC,7.214873,7.35917,7.811169,6.916178,6.930761,6.336765,6.684398,5.782382,6.170907
potD,7.685618,7.813377,7.967733,7.297962,7.440205,6.75208,7.166555,5.980048,6.547481
prc,7.36896,7.456108,8.117269,7.675371,7.723586,7.093243,6.845114,6.214727,6.697857
prfB,9.683691,9.914008,10.717445,9.962096,9.928792,9.056876,8.850131,7.76201,8.881943
priA,5.903038,5.65306,5.600983,6.291604,6.009414,6.043519,6.409578,6.4129,6.296659
priB,8.157903,8.156164,9.057312,8.356161,8.224614,7.812575,7.795241,6.931671,7.383834
priC,5.96703,6.179909,5.786047,5.808694,5.953079,6.316001,6.018323,6.144332,6.6033
proC,6.581698,6.519448,6.731781,7.064139,7.267395,7.072749,6.741008,6.493327,6.690194
psiE,6.228896,5.974415,5.855691,6.071527,6.301496,6.047298,6.085212,6.395046,6.196371
pspC,5.799035,5.942327,5.941858,5.75224,5.799942,6.087208,4.889425,5.369711,5.868637
pspE,6.721632,6.744188,7.042152,7.050088,7.015772,6.456379,7.122787,5.941153,6.549361
pspG,6.388379,6.251208,6.416249,6.486763,5.400948,5.721318,6.340331,6.619208,5.932085
pstS,6.777183,6.544547,6.524832,5.888792,5.90588,6.203828,6.685632,6.775907,6.439656
psuT,5.534248,5.70418,4.653117,5.564896,5.621114,6.1253,5.662462,6.126291,5.91411
ptsN,7.960164,8.005428,8.401554,8.816638,8.604301,7.916608,7.586104,6.894393,7.723716
purB,9.106183,9.252982,9.964527,8.566884,8.51999,7.50404,8.465166,6.868452,8.385586
purU,7.175125,7.523201,8.14322,8.240367,8.143827,7.498682,6.94371,6.070153,6.87103
pyrF,6.451178,6.698927,7.214232,6.176004,6.244602,6.052112,5.360821,5.662234,5.645903
racR,7.281003,7.394883,7.828505,8.219101,8.239427,7.640961,7.772961,6.802219,7.434261
radA,6.137319,6.119501,5.911476,6.033489,6.20676,6.248022,6.440985,6.431055,6.320972
rcnR,5.767125,5.712321,5.219052,4.98167,5.237181,5.980277,6.130993,6.093095,5.818569
rdgC,7.190822,7.405669,8.056031,7.075747,7.482122,6.946555,6.686767,6.647171,6.824144
recD,6.167659,6.209609,6.0378,6.018434,6.03536,6.369135,6.285125,6.648207,6.581125
recF,6.560868,6.579633,6.344154,6.755075,6.725141,6.553545,6.931317,6.946918,7.000856
recG,7.362672,7.390341,7.711529,7.371968,7.24579,6.945537,7.288377,7.127293,7.395628
recO,6.059528,5.82069,6.063826,5.870809,6.129159,5.681815,5.629998,5.481654,5.553668
recR,7.313427,7.387492,7.870722,7.227472,7.216377,7.02974,7.024464,6.329231,7.287223
recX,5.950282,6.325764,5.88694,7.646724,7.853434,7.204356,7.720894,6.592397,7.35676
relE,6.033753,6.221587,6.361277,6.40134,6.513696,6.223403,5.829875,6.031263,6.059355
rep,6.327436,6.032167,6.645615,6.237239,5.928962,5.849649,6.48591,6.505605,6.331401
rhaD,5.593145,5.424217,5.121098,5.667126,5.475279,5.84559,6.40635,6.490634,6.220001
rhmT,5.500037,5.387879,4.933903,5.35808,5.081297,5.58373,5.558696,5.957241,5.505065
rho,9.35931,9.616143,10.432312,10.209332,10.284049,9.326299,9.208651,7.767741,8.934534
rimI,6.184836,6.347825,6.206565,6.410884,6.5093,6.340242,6.60284,6.669324,6.659097
rimL,6.055781,6.442313,6.442263,7.140983,7.526319,7.125951,6.463295,6.305223,6.286752
rimM,7.889516,7.86902,8.571726,7.931482,7.713256,7.495767,6.819081,6.000879,6.759089
rimO,6.568002,6.73628,7.293692,6.308084,6.279063,6.282384,5.582074,5.923149,5.978676
rimP,8.005512,8.069971,8.900849,8.789279,8.73766,8.105008,7.713586,6.749963,7.474842
rlmH,6.193713,6.519919,5.883865,5.788085,5.744376,5.337996,5.398966,5.837111,5.904532
rluA,5.554313,5.777025,5.605998,5.954196,5.557563,5.913272,6.120622,5.988389,5.954499
rluB,6.091742,6.2163,6.477499,5.671407,5.897749,5.791814,5.607242,5.363627,5.649845
rluD,6.092969,6.16215,6.641719,6.756383,6.845666,6.29269,5.818978,5.368699,6.065658
rnc,6.810019,6.847145,7.376082,7.506145,7.144485,6.686515,6.412612,5.929057,5.700329
rnhA,5.96167,5.955917,6.629808,6.134406,5.744376,5.652773,5.93918,5.703627,5.773601
rnhB,6.152893,6.09919,6.304767,6.531413,6.622125,6.149056,6.260722,5.574525,5.853322
rnt,6.360961,6.604175,7.004951,6.571328,6.656382,6.036459,5.982286,5.956173,6.427623
rpe,7.487414,7.373509,7.810147,7.646249,7.806131,7.229617,6.923803,6.961727,7.324136
rplE,10.033588,10.026925,10.85107,10.427019,10.616622,9.528679,9.616898,7.866766,9.438083
rplP,9.565856,9.868086,10.526401,10.279297,10.140165,9.335728,9.346443,7.74208,9.037283
rplY,8.301812,8.722005,9.481757,8.514079,8.086869,7.898783,7.706903,6.633242,7.478381
rpoD,8.514122,8.75702,9.444052,9.155509,9.033954,8.405469,8.34933,7.265924,8.11783
rpoE,6.097948,6.207092,6.565384,6.747374,6.915091,6.156093,6.651583,6.006365,5.810726
rpoN,7.575448,7.76191,8.371101,8.795653,8.722401,8.09769,8.141249,7.067069,7.911248
rpsC,9.863516,9.966393,10.666544,10.4473,10.618138,9.56745,9.547556,7.981801,9.344045
rpsG,9.9247,10.025084,10.78013,10.571866,10.544211,9.552686,9.090269,7.733951,8.845292
rpsO,8.981356,9.14767,9.833791,9.774573,9.838385,9.084508,9.682684,7.846587,8.744521
rsd,6.332296,6.08383,6.527915,7.914385,7.979802,7.327813,8.41746,6.782107,7.269211
rseP,6.419067,6.401699,7.029574,6.706917,7.023133,6.456428,6.560119,6.339529,6.197865
rsgA,7.171927,7.407531,8.03006,7.821946,7.561372,7.410994,7.443399,7.082138,7.336872
rsmD,6.839216,6.970762,7.02219,7.112627,6.773522,6.821455,6.679649,6.975435,7.234722
rsmH,7.284162,7.363933,7.912213,7.828365,7.739031,7.328468,7.219807,6.56514,7.068929
rsmI,6.551531,6.545891,6.586119,6.629094,6.452908,6.356566,6.75737,6.550454,6.744847
rssB,5.823673,5.599139,5.713008,6.974002,7.279434,6.568017,5.950468,5.494864,5.881885
rstB,6.01306,6.00241,6.156558,5.572132,5.77855,5.924361,5.737146,5.903183,5.826116
rsxA,5.682686,5.574374,5.129489,4.920198,5.775735,5.927754,4.833295,5.762641,5.473073
rusA,5.787302,5.989979,6.46323,5.512227,5.364958,6.13535,6.051981,6.011943,6.071698
rutB,5.530352,5.733409,5.097232,4.717594,5.259423,4.998602,5.211168,5.578758,5.50026
rutC,5.262847,5.108692,4.781307,5.284921,5.291751,5.387052,5.074891,5.422805,5.670472
ruvC,7.289263,7.309976,7.940825,7.671697,7.244069,7.111344,7.379846,6.129407,6.876394
sbcB,7.244925,7.480855,8.274038,7.470016,7.361268,6.764341,6.915808,6.302155,6.909665
sbmC,6.211285,6.336212,6.628322,10.726303,10.855733,9.955618,10.309385,7.755475,9.357182
secB,9.036852,9.020377,9.790484,9.883844,9.759522,8.861881,9.421467,7.920478,8.827552
secE,8.079799,7.599117,8.219396,8.078354,8.40117,7.014657,6.40635,5.903472,7.405644
selD,6.021591,6.045443,6.217502,5.900263,5.787668,5.847696,5.598425,5.593892,5.962364
seqA,8.884106,9.057678,9.632655,9.172735,8.779276,8.167734,8.279838,6.817751,7.732018
sgcA,6.108378,6.185886,5.99745,6.671421,6.582722,6.393468,6.761445,6.777262,6.422368
slmA,7.088226,7.102564,7.116074,6.962109,6.630726,6.679058,7.077724,7.170406,7.373126
slp,6.647933,6.766794,6.139367,7.881536,7.821308,7.302867,7.795436,7.454891,7.798569
slyD,9.847104,10.026081,10.768044,10.18578,10.32186,9.338592,9.520137,7.524808,9.277578
speA,9.066644,9.184826,9.893151,8.873047,8.895397,8.07526,8.213192,7.119522,7.916435
sucA,8.340139,8.484327,9.198104,9.94637,9.697572,8.84158,8.782137,7.295998,8.765458
sucB,7.436995,7.432918,7.921032,8.720853,8.461803,7.576991,7.837003,6.346088,7.737795
sufA,6.072685,5.883767,6.593428,6.934623,6.631934,6.421913,6.198946,5.965784,5.852024
tadA,5.546833,5.586344,5.169284,5.755769,5.122921,5.569096,5.336855,5.497421,5.582556
tatC,6.343124,6.115116,6.53801,6.691255,6.516236,5.954987,6.785027,6.637031,6.568519
tdcF,6.651482,6.478422,5.640968,5.411053,5.886794,6.239494,5.835318,6.596145,6.732418
tdcR,6.018857,6.074719,5.529321,4.79171,5.444932,6.15127,6.284125,6.073049,6.205725
tdk,6.172828,6.408066,6.406741,5.238901,5.634041,5.657583,5.611113,5.343514,5.598365
thyA,7.240858,7.397452,7.736585,7.057158,7.126168,6.96352,6.866191,6.663786,6.822501
tnaB,8.537731,8.445963,9.00705,9.359829,9.156278,8.498546,7.933514,7.173227,7.392918
tolA,5.910301,5.91138,5.839884,5.260891,5.501853,5.626352,5.856488,5.480944,5.847245
