Genes,BB9,BB10,BB17,BB19,BB20,BB21,BB11,BB12,BB18
mprA,9.502225,9.592939,10.301222,9.304714,9.337218,8.283186,8.139454,6.91472,8.090271
mqo,5.759369,5.722521,6.13233,6.143271,6.161485,6.410579,5.990909,6.097927,6.30124
mqsR,6.508128,6.666458,6.577444,6.875682,6.95608,6.34042,7.101345,6.977337,6.457808
mraZ,7.659632,7.604961,8.200629,8.653934,8.588366,7.692685,8.519491,6.95926,7.722466
mrcA,6.268996,6.289447,6.184697,6.129963,6.286918,6.206643,6.33303,6.772189,6.74241
mrcB,6.973003,7.338487,8.224749,7.570349,7.487261,7.07099,7.143261,6.486409,6.973014
mrp,7.28555,7.430762,7.756556,7.645738,7.521004,7.018946,6.989922,6.51297,7.018779
mrr,7.431564,7.709091,8.321621,7.817399,7.730762,7.258161,7.369327,6.867303,7.238825
mscM,6.33871,6.279044,6.624159,6.195151,6.075768,6.401801,6.486843,6.748072,6.662918
mscS,7.230136,7.55037,7.538616,9.189926,8.748646,8.590535,7.534388,7.067994,7.238768
msrA,6.747186,6.565597,7.236378,7.473519,7.446132,7.155517,7.070443,6.680099,7.034007
msrB,8.148527,8.40779,9.070666,9.719615,9.727961,9.178919,9.25414,7.214649,8.284158
mtgA,6.434011,6.668488,6.967388,7.787831,7.635276,7.26732,7.573556,6.799696,7.38763
mtlA,7.043049,6.872041,6.519007,7.095091,7.112314,7.143679,7.380097,7.29164,7.393871
mtlD,7.293141,7.263823,7.050186,7.677318,7.758243,7.630304,7.406528,7.288229,7.463255
mtlR,7.325108,7.285088,7.444468,7.655202,7.336355,7.274709,7.373222,7.076356,7.169344
mtr,5.908236,5.925572,5.898958,5.851949,6.068391,6.132145,8.154038,7.387724,8.5579
mug,6.334604,6.534482,6.532223,6.092059,6.010713,5.964583,6.261531,6.878419,6.79539
murP,5.910972,5.807252,5.602855,5.680662,5.509442,5.790068,5.586675,5.878186,6.094384
murQ,6.012971,5.922578,5.920555,5.519888,5.463753,5.655237,5.864978,5.992836,6.248326
murR,5.826472,5.748622,5.577761,5.319762,5.196292,5.955476,5.753551,6.134529,5.709925
mutH,6.194816,6.192865,5.787511,5.562029,5.68552,6.056432,6.657897,6.595235,6.779864
mutL,6.497628,6.395526,6.496271,6.637103,6.543929,6.57696,6.479311,6.606531,6.738862
mutM,6.672298,6.582044,6.385914,6.408372,6.326358,6.760341,6.736821,7.067649,7.042108
mutS,6.694351,6.810276,7.116656,6.439773,6.606472,6.467736,6.554804,6.397923,6.717279
mutT,6.874723,7.013563,7.103823,6.458677,6.891079,6.10333,6.373074,6.324325,6.557716
mutY,7.415784,7.570266,7.786106,7.852973,7.88356,7.3609,7.416088,6.970486,7.462895
nac,5.365028,5.443905,5.100894,6.560012,6.520485,6.521616,5.761099,5.826879,6.180685
nadA,5.574011,5.519636,5.398761,5.396571,5.306517,5.103414,5.571889,5.467247,5.682292
nadB,5.264649,4.965045,4.653404,4.821506,5.187134,5.252136,5.040761,5.28444,5.021124
nadC,6.423729,6.381491,6.731346,6.355985,6.154352,6.03984,6.189963,6.248288,6.328298
nadR,6.400931,6.642167,6.700676,6.740793,6.812408,6.952706,6.997575,6.668417,6.65121
nagA,6.846794,6.954289,7.182037,7.21361,7.141586,6.447298,6.349401,6.087526,6.333048
nagB,6.803485,6.808321,7.35222,6.809427,6.750915,6.501455,6.224484,5.843808,6.21694
nagC,6.957636,7.020569,7.530555,7.299382,7.194471,6.799308,6.690515,6.154697,6.746232
nagE,6.150682,6.170866,6.568108,5.92811,5.966038,5.856787,5.687677,5.719758,5.621612
nagK,5.779391,6.095798,5.985022,5.838801,5.637668,5.821251,5.210545,5.429248,5.5525
nagZ,6.12623,6.09394,6.138343,6.208361,6.278319,5.905206,5.549423,5.394514,5.616828
nanA,7.33422,7.369327,8.36297,6.432893,6.392541,6.195308,6.577565,6.345946,6.506764
nanC,6.186679,6.336783,6.13455,5.492975,6.244297,6.348091,6.562609,6.829418,6.3281
nanE,6.080103,5.981579,5.990478,5.824895,5.934281,5.7372,6.070518,6.026269,5.97014
nanK,5.888548,5.69212,6.191582,5.886648,5.828073,5.673924,5.91241,6.10354,5.99159
nanM,6.335712,6.15666,5.569309,5.758063,6.081574,5.965738,6.505859,6.887818,6.443905
nanS,6.235019,6.173867,6.390547,6.128603,5.927778,6.452348,6.751142,6.87702,6.697079
nanT,5.925999,5.817521,5.949908,5.503635,5.692595,5.769587,6.203397,6.228434,6.045967
