gene,BB9,BB10,BB17,BB19,BB20,BB21,BB11,BB12,BB18
aaeA,-1.0219598456113905,-0.97943458006518,-1.0709800503056768,-0.936074957747308,-0.9642498420237069,-1.0319940109864956,-0.9343370200923072,-0.9395431637690784,-0.9372693510256825
aas,-0.9221917245824167,-0.9186342252265536,-0.9129014418545458,-0.955073292073749,-0.9967818073051461,-0.9749462389575083,-0.9735778315097267,-0.8975152807983783,-0.8922107128511959
accB,-0.514109181601605,0.9189615727761573,1.020703724202864,0.7854248775888948,0.7817497137838381,0.679620964598612,0.7020749753906788,0.5948803069365738,0.7131180869644633
aceB,0.8576714558425496,0.7776755754039473,0.8221720624774114,0.07750425185696819,0.06960978213953473,-0.09123709030701499,-0.13014411602191756,1.0316240287024816,-0.11213212233462932
aceE,0.9665152906104706,0.9343330434391206,1.0302297396194153,0.8499215610420243,0.8557009743673456,0.7490048751830785,0.7805369529810751,0.6218393496957568,0.8320777179749421
acpP,0.24018058961916378,0.23822758611992212,0.35874545643843625,0.25823950914323035,0.25070641665854665,0.18151201210308598,0.15541759859938375,-0.07248459402591967,0.13138804567903373
acrZ,-0.3466667799360359,-0.275969732492653,-0.13765514488631447,-0.1800623937859943,-0.20796491221044677,-0.2337071101678072,-0.23344939495749129,-0.3329865617355091,-0.2338446495728046
agaB,-0.9337284268920757,-0.8828733761460925,-0.9302147357360694,-1.0329494755967847,-1.0563997380237335,-1.0163110435797598,-0.9552768196493462,-0.8744750503981384,-0.9803331482288747
agaR,-0.890073615436942,0.5348675453615732,-0.8911260672589021,0.5805522720616214,0.5657539245397285,0.6044708695411392,0.5738345388085087,0.5888824652275653,0.6029108472209657
ahpC,-0.0859137511817295,-0.09791423397956922,-0.013364659322880668,0.009584678585400352,-0.023134623339195026,-0.17746743429652834,-0.16086490893865368,0.9525278152549708,-0.22651513765739428
ahpF,0.7729357054949151,0.7460353288050261,0.7849713309790038,-0.5868497448902115,0.8135161190722764,0.7792601072211196,0.7075040520270801,0.5650165488836396,0.6815380301283156
aldA,0.7080790803408039,0.689746484294746,0.7913271326367459,1.0193053028509458,1.0071925366242178,0.9602254488531303,0.9327527404787304,0.6762877465947525,0.8420446961217318
alr,-0.8927048585900457,-0.923885019308811,-0.8969623112998676,-0.9446306012060782,-0.9778786165295387,-0.9631973799124787,-0.9484274307115017,-0.9255875434574636,-0.8915246116658668
